time,symbol,tf,side,size,entry,exit,pnl_pct,open_order_id,close_order_id,reason,strat_id
2026-01-30 11:59:01.870595+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11335,0.11536,1.7733,712052796010005020,712085198707098140,TRAIL_1,
2026-01-30 12:26:25.716356+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11476,,,712092090523189788,,OPEN,1
2026-01-30 13:08:12.701841+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11476,0.11438,-0.3311,712092090523189788,712102586731201052,HARD_STOP,
2026-01-30 22:15:09.032260+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11584,,,712240225581007388,,OPEN,1
2026-01-30 23:28:02.525298+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11584,0.11549,-0.3021,712240225581007388,712258593818149404,HARD_STOP,
2026-01-31 00:46:08.268672+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11544,,,712278244950278684,,OPEN,1
2026-01-31 02:17:02.438766+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11544,0.11506,-0.3292,712278244950278684,712301123557392924,HARD_STOP,
2026-01-31 03:49:03.522964+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11512,,,712324277986132508,,OPEN,1
2026-01-31 04:53:01.599999+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11512,0.11471,-0.3562,712324277986132508,712340378883195420,HARD_STOP,
2026-01-31 05:10:09.343710+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11441,,,712344665797427740,,OPEN,1
2026-01-31 06:26:01.874382+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11441,0.11394,-0.4108,712344665797427740,712363784412332572,HARD_STOP,
2026-01-31 07:35:13.321256+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.1128,,,712381172721648156,,OPEN,1
2026-01-31 07:39:02.824298+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.1128,0.11233,-0.4167,712381172721648156,712382159108702748,HARD_STOP,
2026-01-31 08:18:08.132191+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11215,,,712391993438765596,,OPEN,1
2026-01-31 08:34:07.133248+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11215,0.11168,-0.4191,712391993438765596,712395996960653852,HARD_STOP,
2026-01-31 08:45:03.798369+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11105,,,712398770712609308,,OPEN,0
2026-01-31 09:02:06.896115+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11105,0.11143,0.3422,712398770712609308,712403063909909020,SCORE,
2026-01-31 10:08:02.975991+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11165,,,712419654663930396,,OPEN,1
2026-01-31 12:14:01.865673+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11165,0.11127,-0.3403,712419654663930396,712451361093976604,HARD_STOP,
2026-01-31 12:15:13.555752+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11132,,,712451616300597788,,OPEN,1
2026-01-31 13:14:02.463688+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11132,0.11094,-0.3414,712451616300597788,712466463092376092,HARD_STOP,
2026-01-31 13:17:02.908954+00:00,cmt_solusdt,5m,LONG,7.7,114.88,,,712467217718968860,,OPEN,1
2026-01-31 13:33:02.105461+00:00,cmt_solusdt,5m,LONG,7.7,114.88,114.32,-0.4875,712467217718968860,712471243147706908,HARD_STOP,
2026-01-31 13:35:03.322887+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11019,,,712471749370839580,,OPEN,1
2026-01-31 13:36:07.512830+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11019,0.11061,0.3812,712471749370839580,712471999435244060,SCORE,
2026-01-31 14:09:02.763063+00:00,cmt_solusdt,5m,LONG,7.8,113.55,,,712480303536407068,,OPEN,1
2026-01-31 14:18:13.199600+00:00,cmt_solusdt,5m,LONG,7.8,113.55,112.87,-0.5989,712480303536407068,712482592871416348,HARD_STOP,
2026-01-31 14:29:07.748187+00:00,cmt_dogeusdt,5m,LONG,8200.0,0.10669,,,712485335782654492,,OPEN,1
